Year,Country / territory of asylum/residence,Origin,Population type,Value
1980,Botswana,Zimbabwe,Returnees,22440
1980,Dem. Rep. of the Congo,Angola,Returnees,200000
1980,Dem. Rep. of the Congo,Uganda,Returnees,30000
1980,Costa Rica,Nicaragua,Returnees,15000
1980,Gabon,Equatorial Guinea,Returnees,10000
1980,"China, Hong Kong SAR",Viet Nam,Returnees,6450
1980,Indonesia,Viet Nam,Returnees,37420
1980,Kenya,Uganda,Returnees,750
1980,Lao People's Dem. Rep.,Cambodia,Returnees,19940
1980,Mozambique,Zimbabwe,Returnees,150000
1980,Philippines,Viet Nam,Returnees,6890
1980,Rwanda,Burundi,Returnees,310
1980,Sudan,Dem. Rep. of the Congo,Returnees,1000
1980,Thailand,Cambodia,Returnees,175000
1980,Thailand,Lao People's Dem. Rep.,Returnees,9000
1980,Various/Unknown,Ethiopia,Returnees,10000
1980,Various/Unknown,Uganda,Returnees,2450
1980,Various/Unknown,Zimbabwe,Returnees,57020
1980,Zambia,Angola,Returnees,110
1980,Zambia,Zimbabwe,Returnees,20540
1981,Australia,Lao People's Dem. Rep.,Returnees,2
1981,Burundi,Rwanda,Returnees,160
1981,Central African Rep.,Chad,Returnees,4030
1981,Cameroon,Chad,Returnees,93310
1981,Dem. Rep. of the Congo,Uganda,Returnees,40000
1981,Congo,Chad,Returnees,80
1981,Djibouti,Eritrea,Returnees,300
1981,Djibouti,Ethiopia,Returnees,18800
1981,Lao People's Dem. Rep.,Cambodia,Returnees,6900
1981,"China, Macao SAR",Viet Nam,Returnees,1520
1981,Malaysia,Viet Nam,Returnees,25660
1981,Nigeria,Chad,Returnees,15430
1981,Nicaragua,El Salvador,Returnees,50
1981,Rwanda,Burundi,Returnees,50
1981,Sudan,Ethiopia,Returnees,7620
1981,Sudan,Chad,Returnees,290
1981,Sudan,Uganda,Returnees,250
1981,Thailand,Lao People's Dem. Rep.,Returnees,2940
1981,Uganda,Dem. Rep. of the Congo,Returnees,50
1981,Uganda,Rwanda,Returnees,7050
1981,Uganda,Sudan,Returnees,130
1981,Viet Nam,Cambodia,Returnees,3600
1981,Various/Unknown,Uganda,Returnees,2000
1981,Zambia,Dem. Rep. of the Congo,Returnees,350
1982,Argentina,Chile,Returnees,130
1982,Burundi,Rwanda,Returnees,160
1982,Belize,El Salvador,Returnees,80
1982,Central African Rep.,Chad,Returnees,860
1982,Cameroon,Chad,Returnees,133080
1982,Dem. Rep. of the Congo,Angola,Returnees,13200
1982,Dem. Rep. of the Congo,Uganda,Returnees,110000
1982,Dem. Rep. of the Congo,Zambia,Returnees,600
1982,Costa Rica,El Salvador,Returnees,240
1982,Cyprus,Lebanon,Returnees,7240
1982,Greece,Iran (Islamic Rep. of),Returnees,60
1982,Greece,Turkey,Returnees,80
1982,India,Afghanistan,Returnees,540
1982,India,Iran (Islamic Rep. of),Returnees,50
1982,Lebanon,Syrian Arab Rep.,Returnees,6000
1982,Lesotho,South Africa,Returnees,80
1982,Mexico,Bolivia (Plurinational State of),Returnees,230
1982,Peru,Bolivia (Plurinational State of),Returnees,190
1982,Sudan,Chad,Returnees,20000
1982,Sudan,Uganda,Returnees,16000
1982,Syrian Arab Rep.,Lebanon,Returnees,2500
1982,Thailand,Lao People's Dem. Rep.,Returnees,1070
1982,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),Returnees,50
1982,Various/Unknown,Ethiopia,Returnees,80000
1982,Zambia,Angola,Returnees,170
1983,Angola,Dem. Rep. of the Congo,Returnees,2600
1983,Burundi,Dem. Rep. of the Congo,Returnees,2060
1983,Burundi,Uganda,Returnees,130
1983,Cameroon,Chad,Returnees,60
1983,Dem. Rep. of the Congo,Uganda,Returnees,3110
1983,Djibouti,Ethiopia,Returnees,5140
1983,Honduras,El Salvador,Returnees,500
1983,India,Afghanistan,Returnees,430
1983,India,Iran (Islamic Rep. of),Returnees,70
1983,Lao People's Dem. Rep.,Cambodia,Returnees,2240
1983,Pakistan,Iran (Islamic Rep. of),Returnees,390
1983,Papua New Guinea,Indonesia,Returnees,850
1983,Rwanda,Burundi,Returnees,130
1983,Rwanda,Uganda,Returnees,3000
1983,Swaziland,South Africa,Returnees,90
1983,Thailand,Lao People's Dem. Rep.,Returnees,595
1983,Various/Unknown,Argentina,Returnees,150
1983,Various/Unknown,Bolivia (Plurinational State of),Returnees,1850
1983,Various/Unknown,Ethiopia,Returnees,77320
1983,Various/Unknown,Uruguay,Returnees,1960
1984,Angola,Dem. Rep. of the Congo,Returnees,6870
1984,Burundi,Dem. Rep. of the Congo,Returnees,860
1984,Brazil,Uruguay,Returnees,100
1984,Central African Rep.,Chad,Returnees,210
1984,Cameroon,Chad,Returnees,5000
1984,Dem. Rep. of the Congo,Angola,Returnees,1340
1984,Dem. Rep. of the Congo,Uganda,Returnees,14790
1984,Costa Rica,Argentina,Returnees,50
1984,Costa Rica,Chile,Returnees,50
1984,Costa Rica,El Salvador,Returnees,150
1984,Djibouti,Ethiopia,Returnees,14260
1984,Honduras,El Salvador,Returnees,2260
1984,India,Afghanistan,Returnees,1220
1984,India,Iran (Islamic Rep. of),Returnees,270
1984,Mexico,Chile,Returnees,60
1984,Papua New Guinea,Indonesia,Returnees,110
1984,Rwanda,Burundi,Returnees,50
1984,Rwanda,Ethiopia,Returnees,242140
1984,Saudi Arabia,Ethiopia,Returnees,30000
1984,Sudan,Ethiopia,Returnees,200
1984,Sudan,Uganda,Returnees,36710
1984,Thailand,Lao People's Dem. Rep.,Returnees,203
1984,United States of America,Lao People's Dem. Rep.,Returnees,1
1984,Various/Unknown,Argentina,Returnees,2180
1984,Various/Unknown,Uganda,Returnees,7000
1984,Zambia,Angola,Returnees,530
1984,Zambia,Dem. Rep. of the Congo,Returnees,110
1985,Argentina,Chile,Returnees,80
1985,Argentina,Uruguay,Returnees,1220
1985,Burundi,Dem. Rep. of the Congo,Returnees,120
1985,Burundi,Rwanda,Returnees,2430
1985,Belgium,Lao People's Dem. Rep.,Returnees,1
1985,Central African Rep.,Sudan,Returnees,400
1985,Central African Rep.,Chad,Returnees,26470
1985,Dem. Rep. of the Congo,Angola,Returnees,100
1985,Dem. Rep. of the Congo,Uganda,Returnees,20040
1985,Ecuador,Chile,Returnees,90
1985,Greece,Iraq,Returnees,90
1985,Greece,Turkey,Returnees,310
1985,India,Afghanistan,Returnees,1150
1985,India,Iran (Islamic Rep. of),Returnees,350
1985,Kenya,Uganda,Returnees,100
1985,Kuwait,Ethiopia,Returnees,600
1985,Mozambique,Chile,Returnees,70
1985,Nicaragua,El Salvador,Returnees,620
1985,Pakistan,Iran (Islamic Rep. of),Returnees,2450
1985,Papua New Guinea,Indonesia,Returnees,70
1985,Rwanda,Uganda,Returnees,28500
1985,Sudan,Dem. Rep. of the Congo,Returnees,2410
1985,Sudan,Ethiopia,Returnees,115520
1985,Sudan,Chad,Returnees,62980
1985,Sudan,Uganda,Returnees,6260
1985,Serbia and Kosovo (S/RES/1244 (1999)),Romania,Returnees,200
1985,Syrian Arab Rep.,Lebanon,Returnees,1000
1985,Thailand,Lao People's Dem. Rep.,Returnees,235
1985,Thailand,Viet Nam,Returnees,2110
1985,United Rep. of Tanzania,Uganda,Returnees,1310
1985,Venezuela (Bolivarian Republic of),Argentina,Returnees,50
1985,Venezuela (Bolivarian Republic of),Uruguay,Returnees,80
1985,Various/Unknown,Cambodia,Returnees,75680
1985,Yemen,Ethiopia,Returnees,200
1985,Zambia,Angola,Returnees,530
1986,Burundi,Uganda,Returnees,250
1986,Botswana,Lesotho,Returnees,50
1986,Botswana,Zimbabwe,Returnees,680
1986,Central African Rep.,Chad,Returnees,15220
1986,Cameroon,Chad,Returnees,930
1986,Dem. Rep. of the Congo,Uganda,Returnees,2770
1986,Djibouti,Ethiopia,Returnees,430
1986,Dominican Rep.,Haiti,Returnees,1020
1986,Ecuador,Chile,Returnees,70
1986,India,Afghanistan,Returnees,1170
1986,India,Iran (Islamic Rep. of),Returnees,280
1986,Kenya,Uganda,Returnees,1450
1986,Nigeria,Ghana,Returnees,120
1986,Nicaragua,El Salvador,Returnees,270
1986,Papua New Guinea,Indonesia,Returnees,1130
1986,Sudan,Ethiopia,Returnees,109000
1986,Sudan,Chad,Returnees,28000
1986,Sudan,Uganda,Returnees,52800
1986,Somalia,Ethiopia,Returnees,104430
1986,Thailand,Lao People's Dem. Rep.,Returnees,2870
1986,Venezuela (Bolivarian Republic of),Uruguay,Returnees,60
1986,Various/Unknown,Dem. Rep. of the Congo,Returnees,2940
1986,Various/Unknown,Syrian Arab Rep.,Returnees,70
1986,Zambia,Angola,Returnees,330
1986,Zambia,Dem. Rep. of the Congo,Returnees,120
1987,Angola,Dem. Rep. of the Congo,Returnees,940
1987,Central African Rep.,Chad,Returnees,7050
1987,Cameroon,Chad,Returnees,310
1987,Dem. Rep. of the Congo,Angola,Returnees,420
1987,Dem. Rep. of the Congo,Uganda,Returnees,15630
1987,Costa Rica,Nicaragua,Returnees,180
1987,Costa Rica,El Salvador,Returnees,80
1987,Djibouti,Ethiopia,Returnees,3590
1987,Dominican Rep.,Haiti,Returnees,2070
1987,Ethiopia,Sudan,Returnees,50
1987,Honduras,Guatemala,Returnees,140
1987,Honduras,Nicaragua,Returnees,6800
1987,Honduras,El Salvador,Returnees,5610
1987,Kenya,Ethiopia,Returnees,140
1987,Kenya,Uganda,Returnees,120
1987,Mozambique,Chile,Returnees,60
1987,Malawi,Mozambique,Returnees,42300
1987,Nigeria,Chad,Returnees,1270
1987,Nicaragua,El Salvador,Returnees,210
1987,Papua New Guinea,Indonesia,Returnees,1330
1987,Sudan,Ethiopia,Returnees,25610
1987,Sudan,Chad,Returnees,1580
1987,Sudan,Uganda,Returnees,68200
1987,Singapore,Iran (Islamic Rep. of),Returnees,100
1987,Sierra Leone,Namibia,Returnees,60
1987,Somalia,Ethiopia,Returnees,30230
1987,Thailand,Lao People's Dem. Rep.,Returnees,2640
1987,Various/Unknown,Cambodia,Returnees,8000
1987,Zambia,Mozambique,Returnees,3310
1987,Zimbabwe,Mozambique,Returnees,11850
1988,Angola,Dem. Rep. of the Congo,Returnees,50
1988,Botswana,Namibia,Returnees,160
1988,Botswana,South Africa,Returnees,50
1988,Botswana,Zimbabwe,Returnees,490
1988,Central African Rep.,Chad,Returnees,1290
1988,Cameroon,Chad,Returnees,2820
1988,Dem. Rep. of the Congo,Angola,Returnees,610
1988,Dem. Rep. of the Congo,Uganda,Returnees,1200
1988,Congo,Angola,Returnees,50
1988,Costa Rica,Nicaragua,Returnees,440
1988,Costa Rica,El Salvador,Returnees,320
1988,Cyprus,Iran (Islamic Rep. of),Returnees,230
1988,Djibouti,Ethiopia,Returnees,5230
1988,Dominican Rep.,Haiti,Returnees,670
1988,Ethiopia,Sudan,Returnees,1320
1988,Honduras,Nicaragua,Returnees,10070
1988,Honduras,El Salvador,Returnees,2490
1988,India,Afghanistan,Returnees,660
1988,India,Iran (Islamic Rep. of),Returnees,520
1988,Iran (Islamic Rep. of),Iraq,Returnees,44000
1988,Kenya,Uganda,Returnees,460
1988,Mexico,Guatemala,Returnees,1900
1988,Malawi,Mozambique,Returnees,4010
1988,Nigeria,Sri Lanka,Returnees,100
1988,Nigeria,Chad,Returnees,120
1988,Nicaragua,El Salvador,Returnees,670
1988,Pakistan,Iran (Islamic Rep. of),Returnees,350
1988,Papua New Guinea,Indonesia,Returnees,450
1988,Rwanda,Burundi,Returnees,53000
1988,Sudan,Uganda,Returnees,83500
1988,El Salvador,Nicaragua,Returnees,250
1988,Somalia,Ethiopia,Returnees,1850
1988,Thailand,Lao People's Dem. Rep.,Returnees,270
1988,United States of America,Lao People's Dem. Rep.,Returnees,2
1988,Various/Unknown,Cambodia,Returnees,360
1988,Various/Unknown,Mozambique,Returnees,11040
1988,Zambia,Angola,Returnees,680
1988,Zambia,Mozambique,Returnees,390
1988,Zimbabwe,Mozambique,Returnees,900
1989,Benin,Chad,Returnees,410
1989,Central African Rep.,Chad,Returnees,670
1989,Switzerland,Lao People's Dem. Rep.,Returnees,1
1989,Cameroon,Chad,Returnees,2730
1989,Dem. Rep. of the Congo,Angola,Returnees,5880
1989,Congo,Chad,Returnees,90
1989,Costa Rica,Nicaragua,Returnees,1050
1989,Costa Rica,El Salvador,Returnees,60
1989,Djibouti,Ethiopia,Returnees,460
1989,Dominican Rep.,Haiti,Returnees,490
1989,Algeria,Dem. Rep. of the Congo,Returnees,2860
1989,Algeria,Namibia,Returnees,67860
1989,Algeria,South Africa,Returnees,7100
1989,France,Lao People's Dem. Rep.,Returnees,5
1989,Ghana,Namibia,Returnees,50
1989,Greece,Turkey,Returnees,70
1989,"China, Hong Kong SAR",Viet Nam,Returnees,874
1989,Honduras,Nicaragua,Returnees,1750
1989,Honduras,El Salvador,Returnees,2960
1989,India,Afghanistan,Returnees,920
1989,India,Iran (Islamic Rep. of),Returnees,420
1989,India,Lao People's Dem. Rep.,Returnees,1
1989,Japan,Lao People's Dem. Rep.,Returnees,1
1989,Kenya,Namibia,Returnees,50
1989,Kenya,Uganda,Returnees,190
1989,Mexico,Guatemala,Returnees,1210
1989,Malawi,Mozambique,Returnees,3520
1989,Malaysia,Viet Nam,Returnees,18
1989,Nigeria,Namibia,Returnees,90
1989,Nigeria,Chad,Returnees,970
1989,Nicaragua,El Salvador,Returnees,130
1989,Pakistan,Iran (Islamic Rep. of),Returnees,60
1989,Philippines,Viet Nam,Returnees,15
1989,Papua New Guinea,Indonesia,Returnees,80
1989,Rwanda,Burundi,Returnees,80
